,"Date","Minimum temperature (?C)","Maximum temperature (?C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (?C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (?C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2015-04-1,15.6,27.0,51.0,,,,,,18.2,99,7, ,Calm,,,,,,,
,2015-04-2,16.3,29.0,0,2.6,,,,,19.0,95,6, ,Calm,,,,,,,
,2015-04-3,16.3,,2.4,4.4,,,,,16.8,84,8,SE,2,,,,,,,
,2015-04-4,15.8,20.2,20.1,1.1,,,,,17.2,95,8,NE,6,,,,,,,
,2015-04-5,15.2,26.5,11.4,1.6,,,,,19.8,71,1,SW,9,,,,,,,
,2015-04-6,13.1,25.9,0,3.0,,,,,17.3,96,3,SW,6,,,,,,,
,2015-04-7,12.3,23.1,3.2,3.0,,,,,17.1,89,5,SW,6,,,,,,,
,2015-04-8,13.3,22.2,0.5,3.6,,,,,18.7,54,5,S,19,,,,,,,
,2015-04-9,15.0,22.4,0,4.0,,,,,18.1,51,1,SSW,15,,,,,,,
,2015-04-10,13.3,22.5,0,3.3,,,,,17.5,68,8,SSW,7,,,,,,,
,2015-04-11,14.5,24.0,6.8,,,,,,17.0,97,8, ,Calm,,,,,,,
,2015-04-12,12.0,23.4,0,1.2,,,,,21.0,65,5,WSW,4,,,,,,,
,2015-04-13,13.2,22.3,0,2.0,,,,,18.2,68,1,SSW,9,,,,,,,
,2015-04-14,11.1,24.4,0,2.3,,,,,17.6,74,2,SW,4,,,,,,,
,2015-04-15,11.5,28.4,0,2.6,,,,,17.8,79,2,SW,4,,,,,,,
,2015-04-16,15.8,30.4,3.5,3.1,,,,,21.0,79,6,WSW,2,,,,,,,
,2015-04-17,18.9,23.2,5.2,3.0,,,,,19.5,97,8,NE,2,,,,,,,
,2015-04-18,18.6,27.7,1.2,0.6,,,,,23.0,74,7,N,20,,,,,,,
,2015-04-19,15.2,24.1,7.5,4.3,,,,,18.4,68,1,SW,26,,,,,,,
,2015-04-20,11.7,16.2,5.2,3.7,,,,,13.2,97,8,SSW,7,,,,,,,
,2015-04-21,13.0,16.6,100.6,0.2,,,,,14.2,89,8,SW,37,,,,,,,
,2015-04-22,12.7,18.0,92.6,,,,,,14.8,100,8,S,19,,,,,,,
,2015-04-23,12.5,22.9,44.4,3.9,,,,,17.8,98,1,S,2,,,,,,,
,2015-04-24,12.9,25.6,2.8,1.3,,,,,15.4,99,7, ,Calm,,,,,,,
,2015-04-25,11.0,25.0,1.0,2.8,,,,,16.1,90,4, ,Calm,,,,,,,
,2015-04-26,9.2,19.2,63.3,,,,,,16.4,75,6,NW,50,,,,,,,
,2015-04-27,10.4,20.3,0,1.2,,,,,15.7,69,0,SW,22,,,,,,,
,2015-04-28,8.9,,0,2.5,,,,,16.1,59,0,S,11,,,,,,,
,2015-04-29,,,0,,,,,,,,,,,,,,,,,
,2015-04-30,,18.8,2.3,,,,,,,,,,,,15.1,93,8,W,2,
