"","X","Date","Minimum.temperature...C.","Maximum.temperature...C.","Rainfall..mm.","Evaporation..mm.","Sunshine..hours.","Direction.of.maximum.wind.gust.","Speed.of.maximum.wind.gust..km.h.","Time.of.maximum.wind.gust","X9am.Temperature...C.","X9am.relative.humidity....","X9am.cloud.amount..oktas.","X9am.wind.direction","X9am.wind.speed..km.h.","X9am.MSL.pressure..hPa.","X3pm.Temperature...C.","X3pm.relative.humidity....","X3pm.cloud.amount..oktas.","X3pm.wind.direction","X3pm.wind.speed..km.h.","X3pm.MSL.pressure..hPa."
"228",NA,"2015-11-14",17,19.8,34.2,5.6,NA,NA,NA,NA,17.6,84,8,"SSW","15",NA,NA,NA,NA,NA,NA,NA
"229",NA,"2015-11-15",14.5,20.7,17.2,6,NA,NA,NA,NA,17,77,8,"SW","19",NA,NA,NA,NA,NA,NA,NA
"230",NA,"2015-11-16",11.5,24.4,0.9,2.9,NA,NA,NA,NA,17.5,71,0,"SSW","17",NA,NA,NA,NA,NA,NA,NA
"231",NA,"2015-11-17",10.9,29,0,5,NA,NA,NA,NA,18.4,75,0,"SSW","9",NA,NA,NA,NA,NA,NA,NA
"232",NA,"2015-11-18",15.4,35.2,0,5.3,NA,NA,NA,NA,24.6,51,0,"SW","7",NA,NA,NA,NA,NA,NA,NA
"233",NA,"2015-11-19",15.6,38.5,0,6.7,NA,NA,NA,NA,21.2,77,3,"SSW","9",NA,NA,NA,NA,NA,NA,NA
"234",NA,"2015-11-20",19.6,40.2,0,5.7,NA,NA,NA,NA,26.1,68,0,"SW","4",NA,NA,NA,NA,NA,NA,NA
"235",NA,"2015-11-21",18.8,22.8,0,9.3,NA,NA,NA,NA,20.8,74,8,"SW","7",NA,NA,NA,NA,NA,NA,NA
"236",NA,"2015-11-22",15.8,22.2,0,4.5,NA,NA,NA,NA,18.9,73,8,"NE","15",NA,NA,NA,NA,NA,NA,NA
"237",NA,"2015-11-23",14,28.1,0,1.8,NA,NA,NA,NA,22,70,0,"SW","6",NA,NA,NA,NA,NA,NA,NA
"238",NA,"2015-11-24",16.4,29.4,0,5.3,NA,NA,NA,NA,21.6,72,6,"SW","4",NA,NA,NA,NA,NA,NA,NA
"239",NA,"2015-11-25",14.4,35.2,0,5.6,NA,NA,NA,NA,19.9,82,0,"SW","2",NA,NA,NA,NA,NA,NA,NA
"240",NA,"2015-11-26",19.6,36.3,0,8,NA,NA,NA,NA,32,38,0,"NNW","19",NA,NA,NA,NA,NA,NA,NA
"241",NA,"2015-11-27",14.4,23.8,0,10,NA,NA,NA,NA,19.6,68,4,"S","4",NA,NA,NA,NA,NA,NA,NA
"242",NA,"2015-11-28",16.6,24,0,4.2,NA,NA,NA,NA,20.3,79,8,"NE","6",NA,NA,NA,NA,NA,NA,NA
"243",NA,"2015-11-29",19.1,29.3,0.2,2.2,NA,NA,NA,NA,21.6,82,8,"SW","4",NA,NA,NA,NA,NA,NA,NA
"244",NA,"2015-11-30",15.5,30.3,0,3.8,NA,NA,NA,NA,21.3,74,4,"NE","7",NA,NA,NA,NA,NA,NA,NA
"245",NA,"2015-12-1",16.2,39.2,0,6.5,NA,NA,NA,NA,23,68,0,"SW","4",NA,NA,NA,NA,NA,NA,NA
"246",NA,"2015-12-2",18.6,23.9,0.4,8.4,NA,NA,NA,NA,20.2,75,8,"SSW","7",NA,NA,NA,NA,NA,NA,NA
"247",NA,"2015-12-3",14.6,22.3,0,4.9,NA,NA,NA,NA,18,71,8,"SW","4",NA,NA,NA,NA,NA,NA,NA
"248",NA,"2015-12-4",11.2,25.1,0,4.8,NA,NA,NA,NA,19.8,65,6,"SW","4",NA,NA,NA,NA,NA,NA,NA
"249",NA,"2015-12-5",12,28.9,0,3.3,NA,NA,NA,NA,20,68,0," ","Calm",NA,NA,NA,NA,NA,NA,NA
"250",NA,"2015-12-6",14.2,30.1,0,5.8,NA,NA,NA,NA,21.7,72,1," ","Calm",NA,NA,NA,NA,NA,NA,NA
"251",NA,"2015-12-7",16.3,27.7,0,7.2,NA,NA,NA,NA,21.7,76,4,"E","4",NA,NA,NA,NA,NA,NA,NA
"252",NA,"2015-12-8",18.1,27.4,0,5.7,NA,NA,NA,NA,22.3,73,8," ","Calm",NA,NA,NA,NA,NA,NA,NA
"253",NA,"2015-12-9",20.8,35.2,3.6,2.9,NA,NA,NA,NA,23.6,78,7,"N","11",NA,NA,NA,NA,NA,NA,NA
"254",NA,"2015-12-10",20.6,28.8,0.3,7,NA,NA,NA,NA,21.8,79,8," ","Calm",NA,NA,NA,NA,NA,NA,NA
"255",NA,"2015-12-11",18.7,34.6,0,5.3,NA,NA,NA,NA,23.3,80,1,"SW","4",NA,NA,NA,NA,NA,NA,NA
"256",NA,"2015-12-12",16.4,23.8,0,11,NA,NA,NA,NA,21.4,62,7,"WSW","6",NA,NA,NA,NA,NA,NA,NA
"257",NA,"2015-12-13",17.4,26.2,0,4.2,NA,NA,NA,NA,20.2,68,8,"NNE","7",NA,NA,NA,NA,NA,NA,NA
"258",NA,"2015-12-14",15,34.2,0,4,NA,NA,NA,NA,22,71,1," ","Calm",NA,NA,NA,NA,NA,NA,NA
"259",NA,"2015-12-15",15.9,31,0,6.4,NA,NA,NA,NA,22.4,79,6,"W","15",NA,NA,NA,NA,NA,NA,NA
"260",NA,"2015-12-16",20,24,3.7,2.7,NA,NA,NA,NA,21.9,87,8,"SSW","2",NA,NA,NA,NA,NA,NA,NA
"261",NA,"2015-12-17",14.5,29.1,0,1.6,NA,NA,NA,NA,20.7,78,8,"WSW","7",NA,NA,NA,NA,NA,NA,NA
"262",NA,"2015-12-18",15.9,35.2,0,5,NA,NA,NA,NA,23.4,71,0,"SW","7",NA,NA,NA,NA,NA,NA,NA
"263",NA,"2015-12-19",17.7,36.9,0,6.9,NA,NA,NA,NA,25.8,65,0,"S","2",NA,NA,NA,NA,NA,NA,NA
"264",NA,"2015-12-20",16,40.4,0,8.7,NA,NA,NA,NA,24,61,0,"WSW","2",NA,NA,NA,NA,NA,NA,NA
"265",NA,"2015-12-21",24.1,30.7,0,10.6,NA,NA,NA,NA,27.9,51,5,"NW","6",NA,NA,NA,NA,NA,NA,NA
"266",NA,"2015-12-22",16.4,21.2,24.8,5,NA,NA,NA,NA,16.4,85,8,"SW","6",NA,NA,NA,NA,NA,NA,NA
"267",NA,"2015-12-23",15.8,23.1,26,3,NA,NA,NA,NA,20.6,73,3,"NW","4",NA,NA,NA,NA,NA,NA,NA
"268",NA,"2015-12-24",14.3,25.4,0,2.3,NA,NA,NA,NA,21.3,69,4,"N","2",NA,NA,NA,NA,NA,NA,NA
"269",NA,"2015-12-25",14.2,25.6,0,5.5,NA,NA,NA,NA,21.6,69,2,"WNW","7",NA,NA,NA,NA,NA,NA,NA
"270",NA,"2015-12-26",16.3,30.5,0,3.4,NA,NA,NA,NA,21.7,73,5,"NNW","19",NA,NA,NA,NA,NA,NA,NA
"271",NA,"2015-12-27",15.4,22.7,6.4,3.8,NA,NA,NA,NA,17.3,73,8,"SSW","35",NA,NA,NA,NA,NA,NA,NA
"272",NA,"2015-12-28",14.8,22.4,1,4.6,NA,NA,NA,NA,17.1,77,7,"SSW","17",NA,NA,NA,NA,NA,NA,NA
"273",NA,"2015-12-29",14.3,25.3,0,3.2,NA,NA,NA,NA,20.2,62,2,"SSW","19",NA,NA,NA,NA,NA,NA,NA
"274",NA,"2015-12-30",11.7,27.1,0,5.8,NA,NA,NA,NA,19.1,71,0,"W","4",NA,NA,NA,NA,NA,NA,NA
"275",NA,"2015-12-31",14.5,29.5,0,6.4,NA,NA,NA,NA,20.9,73,1,"S","4",NA,NA,NA,NA,NA,NA,NA
"276",NA,"2016-01-1",15,29,0,5.8,NA,NA,NA,NA,23.8,60,2,"WSW","7",NA,NA,NA,NA,NA,NA,NA
"277",NA,"2016-01-2",15.5,26.1,0,6.6,NA,NA,NA,NA,23,67,5,"WSW","9",NA,NA,NA,NA,NA,NA,NA
"278",NA,"2016-01-3",18.2,24,0,5.8,NA,NA,NA,NA,22,66,8,"ESE","11",NA,NA,NA,NA,NA,NA,NA
"279",NA,"2016-01-4",17.7,23,42.7,4.9,NA,NA,NA,NA,18.8,98,8," ","Calm",NA,NA,NA,NA,NA,NA,NA
"280",NA,"2016-01-5",16.8,19.2,32,4.8,NA,NA,NA,NA,16.7,96,8,"WSW","7",NA,NA,NA,NA,NA,NA,NA
"281",NA,"2016-01-6",16.3,19.7,59.8,NA,NA,NA,NA,NA,16.7,99,8,"W","4",NA,NA,NA,NA,NA,NA,NA
"282",NA,"2016-01-7",15.8,23.8,19,1.4,NA,NA,NA,NA,19.2,73,7,"SW","19",NA,NA,NA,NA,NA,NA,NA
"283",NA,"2016-01-8",12.8,28.6,NA,2.9,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA
"284",NA,"2016-01-9",16.6,28.5,0,7.2,NA,NA,NA,NA,21.2,75,6," ","Calm",NA,NA,NA,NA,NA,NA,NA
"285",NA,"2016-01-10",16,31.3,0,4,NA,NA,NA,NA,22.4,74,1," ","Calm",NA,NA,NA,NA,NA,NA,NA
"286",NA,"2016-01-11",17.9,37.7,0,6.2,NA,NA,NA,NA,24,78,0,"WSW","7",NA,NA,NA,NA,NA,NA,NA
"287",NA,"2016-01-12",21.2,33.5,0,5.5,NA,NA,NA,NA,27.7,60,5," ","Calm",NA,NA,NA,NA,NA,NA,NA
"288",NA,"2016-01-13",18.2,32,0,5.3,NA,NA,NA,NA,23.5,71,4,"NE","4",NA,NA,NA,NA,NA,NA,NA
"289",NA,"2016-01-14",21,40,0,5.7,NA,NA,NA,NA,29.3,60,1," ","Calm",NA,NA,NA,NA,NA,NA,NA
"290",NA,"2016-01-15",12.7,21.3,38.2,6.4,NA,NA,NA,NA,13.5,97,8,"SSE","7",NA,NA,NA,NA,NA,NA,NA
"291",NA,"2016-01-16",13.4,23.2,2.8,3.6,NA,NA,NA,NA,18,81,7,"SW","19",NA,NA,NA,NA,NA,NA,NA
"292",NA,"2016-01-17",14.6,25,1.5,3.1,NA,NA,NA,NA,20.8,70,2,"W","9",NA,NA,NA,NA,NA,NA,NA
"293",NA,"2016-01-18",14,29.2,0,4.2,NA,NA,NA,NA,21.2,72,3,"SW","4",NA,NA,NA,NA,NA,NA,NA
"294",NA,"2016-01-19",16.1,35.9,0,5.1,NA,NA,NA,NA,23,76,1,"N","6",NA,NA,NA,NA,NA,NA,NA
"295",NA,"2016-01-20",19.4,38.7,0,6.8,NA,NA,NA,NA,27.3,48,0,"NNW","4",NA,NA,NA,NA,NA,NA,NA
"296",NA,"2016-01-21",22,38.4,0,7.3,NA,NA,NA,NA,27,61,1,"SW","2",NA,NA,NA,NA,NA,NA,NA
"297",NA,"2016-01-22",22.3,28,31.4,8.7,NA,NA,NA,NA,23.9,91,8,"NNW","6",NA,NA,NA,NA,NA,NA,NA
"298",NA,"2016-01-23",21.1,26.7,12.7,2.8,NA,NA,NA,NA,25.9,61,3,"SW","13",NA,NA,NA,NA,NA,NA,NA
"299",NA,"2016-01-24",19.5,25,0.4,4.1,NA,NA,NA,NA,20,91,8,"SW","6",NA,NA,NA,NA,NA,NA,NA
"300",NA,"2016-01-25",20,24,0,2.2,NA,NA,NA,NA,21.5,89,8," ","Calm",NA,NA,NA,NA,NA,NA,NA
"301",NA,"2016-01-26",19.9,28.7,9,NA,NA,NA,NA,NA,23.5,77,7,"NNE","7",NA,NA,NA,NA,NA,NA,NA
"302",NA,"2016-01-27",19.2,24.7,0,5.6,NA,NA,NA,NA,22.7,72,8,"NE","9",NA,NA,NA,NA,NA,NA,NA
"303",NA,"2016-01-28",20.2,32.2,0,1.6,NA,NA,NA,NA,22.5,73,7,"NE","9",NA,NA,NA,NA,NA,NA,NA
"304",NA,"2016-01-29",20,29.3,2.2,4.8,NA,NA,NA,NA,25.2,83,5,"NW","4",NA,NA,NA,NA,NA,NA,NA
"305",NA,"2016-01-30",18.5,28.9,35.1,8.2,NA,NA,NA,NA,22.7,81,4,"SE","11",NA,NA,NA,NA,NA,NA,NA
"306",NA,"2016-01-31",17.8,29.7,29,6,NA,NA,NA,NA,21.9,87,2," ","Calm",NA,NA,NA,NA,NA,NA,NA
"307",NA,"2016-02-1",18.8,26.2,0,5.2,NA,NA,NA,NA,21,76,8," ","Calm",NA,NA,NA,NA,NA,NA,NA
"308",NA,"2016-02-2",14.8,28.2,0.3,2.5,NA,NA,NA,NA,19.4,79,0,"SW","6",NA,NA,NA,NA,NA,NA,NA
"309",NA,"2016-02-3",16.5,32.3,0,5.2,NA,NA,NA,NA,22.2,83,7,"W","4",NA,NA,NA,NA,NA,NA,NA
"310",NA,"2016-02-4",18.3,24.6,3.2,6,NA,NA,NA,NA,19.8,92,8,"S","4",NA,NA,NA,NA,NA,NA,NA
"311",NA,"2016-02-5",18.4,24.8,0.6,4.6,NA,NA,NA,NA,19.1,81,8,"W","20",NA,NA,NA,NA,NA,NA,NA
"312",NA,"2016-02-6",17.3,26.4,1,4.4,NA,NA,NA,NA,18.9,92,8,"NE","6",NA,NA,NA,NA,NA,NA,NA
"313",NA,"2016-02-7",16.6,27.6,0.2,3.4,NA,NA,NA,NA,21.6,80,5,"SW","7",NA,NA,NA,NA,NA,NA,NA
"314",NA,"2016-02-8",17.1,29.7,0,4,NA,NA,NA,NA,22,77,0,"S","4",NA,NA,NA,NA,NA,NA,NA
"315",NA,"2016-02-9",18.3,27.2,0,6.4,NA,NA,NA,NA,22.9,79,4,"SW","4",NA,NA,NA,NA,NA,NA,NA
"316",NA,"2016-02-10",16.6,31.7,0,5.6,NA,NA,NA,NA,21.9,83,0," ","Calm",NA,NA,NA,NA,NA,NA,NA
"317",NA,"2016-02-11",17,29.2,0,5.2,NA,NA,NA,NA,22.2,81,2,"SW","4",NA,NA,NA,NA,NA,NA,NA
"318",NA,"2016-02-12",18.7,31.4,0,4.6,NA,NA,NA,NA,23.6,81,1,"SSW","4",NA,NA,NA,NA,NA,NA,NA
"319",NA,"2016-02-13",19,33.3,0,6.6,NA,NA,NA,NA,24.5,71,1,"N","4",NA,NA,NA,NA,NA,NA,NA
"320",NA,"2016-02-14",18.5,37,0,6.4,NA,NA,NA,NA,25,69,1,"NW","4",NA,NA,NA,NA,NA,NA,NA
"321",NA,"2016-02-15",22,31.5,0,4.6,NA,NA,NA,NA,24,78,7," ","Calm",NA,NA,NA,NA,NA,NA,NA
"322",NA,"2016-02-16",17,28,0,5.6,NA,NA,NA,NA,25.5,38,1,"SW","4",NA,NA,NA,NA,NA,NA,NA
"323",NA,"2016-02-17",18,26.2,0,5.6,NA,NA,NA,NA,19.6,69,6," ","Calm",NA,NA,NA,NA,NA,NA,NA
"324",NA,"2016-02-18",14.8,29,0,4.6,NA,NA,NA,NA,21.2,67,5,"SSW","4",NA,NA,NA,NA,NA,NA,NA
"325",NA,"2016-02-19",18,34.4,0,4,NA,NA,NA,NA,22.6,78,8,"WNW","7",NA,NA,NA,NA,NA,NA,NA
"326",NA,"2016-02-20",22.5,28.7,0,5.5,NA,NA,NA,NA,23.2,72,8,"SW","15",NA,NA,NA,NA,NA,NA,NA
"327",NA,"2016-02-21",20.3,28.5,12.2,5.1,NA,NA,NA,NA,21.9,90,6," ","Calm",NA,NA,NA,NA,NA,NA,NA
"328",NA,"2016-02-22",18.8,32,0,4,NA,NA,NA,NA,22.9,89,1," ","Calm",NA,NA,NA,NA,NA,NA,NA
"329",NA,"2016-02-23",18.2,33.2,0,4.9,NA,NA,NA,NA,22.2,86,0," ","Calm",NA,NA,NA,NA,NA,NA,NA
"330",NA,"2016-02-24",17.7,36.2,0,6,NA,NA,NA,NA,23.2,80,0," ","Calm",NA,NA,NA,NA,NA,NA,NA
"331",NA,"2016-02-25",21.2,41,0,5.6,NA,NA,NA,NA,23.7,82,0,"SW","4",NA,NA,NA,NA,NA,NA,NA
"332",NA,"2016-02-26",22.9,27.4,0,6.6,NA,NA,NA,NA,24.6,67,8,"S","11",NA,NA,NA,NA,NA,NA,NA
"333",NA,"2016-02-27",19.2,28,0,3.4,NA,NA,NA,NA,25.3,66,7,"SSW","4",NA,NA,NA,NA,NA,NA,NA
"334",NA,"2016-02-28",17.4,29.2,0,6.2,NA,NA,NA,NA,22.4,78,0," ","Calm",NA,NA,NA,NA,NA,NA,NA
"335",NA,"2016-02-29",17.5,27.8,0,4,NA,NA,NA,NA,23.2,75,5,"SE","6",NA,NA,NA,NA,NA,NA,NA
"336",NA,"2016-03-1",17.9,29.5,0,4,NA,NA,NA,NA,21.8,91,7," ","Calm",NA,NA,NA,NA,NA,NA,NA
"337",NA,"2016-03-2",17,31.5,0.8,2.8,NA,NA,NA,NA,21.8,86,7," ","Calm",NA,NA,NA,NA,NA,NA,NA
"338",NA,"2016-03-3",19.2,34,0,4,NA,NA,NA,NA,23,87,3," ","Calm",NA,NA,NA,NA,NA,NA,NA
"339",NA,"2016-03-4",19.6,31,0,5.4,NA,NA,NA,NA,24,79,4," ","Calm",NA,NA,NA,NA,NA,NA,NA
"340",NA,"2016-03-5",17,32.5,0,5.4,NA,NA,NA,NA,23,83,1," ","Calm",NA,NA,NA,NA,NA,NA,NA
"341",NA,"2016-03-6",16.5,31,0,5,NA,NA,NA,NA,20,95,1," ","Calm",NA,NA,NA,NA,NA,NA,NA
"342",NA,"2016-03-7",18.5,32.9,0,6.2,NA,NA,NA,NA,21.8,93,6," ","Calm",NA,NA,NA,NA,NA,NA,NA
"343",NA,"2016-03-8",17,30.5,0,5,NA,NA,NA,NA,24,76,2," ","Calm",NA,NA,NA,NA,NA,NA,NA
"344",NA,"2016-03-9",20,34.9,0,5.5,NA,NA,NA,NA,25.1,82,2," ","Calm",NA,NA,NA,NA,NA,NA,NA
"345",NA,"2016-03-10",20.7,31,0,5.4,NA,NA,NA,NA,24.7,82,2,"W","4",NA,NA,NA,NA,NA,NA,NA
"346",NA,"2016-03-11",22.2,31.1,0,4.8,NA,NA,NA,NA,23.8,86,8," ","Calm",NA,NA,NA,NA,NA,NA,NA
"347",NA,"2016-03-12",19.4,33.5,0.4,2.4,NA,NA,NA,NA,23,87,2," ","Calm",NA,NA,NA,NA,NA,NA,NA
"348",NA,"2016-03-13",19,31,0,5.6,NA,NA,NA,NA,24,79,2," ","Calm",NA,NA,NA,NA,NA,NA,NA
"349",NA,"2016-03-14",20,33,0,4.6,NA,NA,NA,NA,23,87,8," ","Calm",NA,NA,NA,NA,NA,NA,NA
"350",NA,"2016-03-15",20,25.5,0.2,3.8,NA,NA,NA,NA,21.5,86,8,"SW","11",NA,NA,NA,NA,NA,NA,NA
"351",NA,"2016-03-16",18,27,7.2,3.2,NA,NA,NA,NA,18.8,100,8," ","Calm",NA,NA,NA,NA,NA,NA,NA
"352",NA,"2016-03-17",17.5,28,9.4,4.1,NA,NA,NA,NA,21.9,86,4," ","Calm",NA,NA,NA,NA,NA,NA,NA
"353",NA,"2016-03-18",17,27.6,0,3,NA,NA,NA,NA,22,82,4,"NE","28",NA,NA,NA,NA,NA,NA,NA
"354",NA,"2016-03-19",11.7,24.2,4,2.7,NA,NA,NA,NA,18.2,53,0,"W","7",NA,NA,NA,NA,NA,NA,NA
"355",NA,"2016-03-20",16.3,23.4,0,4.7,NA,NA,NA,NA,17.4,65,7,"W","2",NA,NA,NA,NA,NA,NA,NA
"356",NA,"2016-03-21",14.7,22,4.7,3.6,NA,NA,NA,NA,16.2,89,7,"S","2",NA,NA,NA,NA,NA,NA,NA
"357",NA,"2016-03-22",15.4,24,0,2.1,NA,NA,NA,NA,17.8,73,0,"SSW","19",NA,NA,NA,NA,NA,NA,NA
"358",NA,"2016-03-23",14.2,27.5,0,3,NA,NA,NA,NA,19.5,69,0,"WSW","4",NA,NA,NA,NA,NA,NA,NA
"359",NA,"2016-03-24",14,30,0,3.5,NA,NA,NA,NA,20.5,73,2," ","Calm",NA,NA,NA,NA,NA,NA,NA
"360",NA,"2016-03-25",15.4,26,0,4.2,NA,NA,NA,NA,18.4,82,8," ","Calm",NA,NA,NA,NA,NA,NA,NA
"361",NA,"2016-03-26",14.9,29.4,0,1.2,NA,NA,NA,NA,19.5,83,3," ","Calm",NA,NA,NA,NA,NA,NA,NA
"362",NA,"2016-03-27",16.5,25.8,0,3.6,NA,NA,NA,NA,20.7,88,1," ","Calm",NA,NA,NA,NA,NA,NA,NA
"363",NA,"2016-03-28",17.5,26.4,0,3.6,NA,NA,NA,NA,20.8,83,7," ","Calm",NA,NA,NA,NA,NA,NA,NA
"364",NA,"2016-03-29",18.5,24.2,0,2.5,NA,NA,NA,NA,20.7,75,8,"NE","6",NA,NA,NA,NA,NA,NA,NA
"365",NA,"2016-03-30",17.1,28.1,7.4,0.9,NA,NA,NA,NA,19.5,88,2,"N","4",NA,NA,NA,NA,NA,NA,NA
"366",NA,"2016-03-31",12.9,26.8,0,3.6,NA,NA,NA,NA,19.4,62,0,"WSW","26",NA,NA,NA,NA,NA,NA,NA
"367",NA,"2016-04-1",14.3,28.9,0,4.5,NA,NA,NA,NA,19.3,81,1,"W","2",NA,NA,NA,NA,NA,NA,NA
"368",NA,"2016-04-2",14.3,31.2,0,4,NA,NA,NA,NA,18.6,73,8," ","Calm",NA,NA,NA,NA,NA,NA,NA
"369",NA,"2016-04-3",17.9,26.1,0,4,NA,NA,NA,NA,21.6,72,3,"SSW","4",NA,NA,NA,NA,NA,NA,NA
"370",NA,"2016-04-4",18.2,24.8,0.4,2.6,NA,NA,NA,NA,19.6,83,8," ","Calm",NA,NA,NA,NA,NA,NA,NA
"371",NA,"2016-04-5",15.7,31,0.7,1.8,NA,NA,NA,NA,18.1,99,0," ","Calm",NA,NA,NA,NA,NA,NA,NA
"372",NA,"2016-04-6",16.8,35.7,0,3.6,NA,NA,NA,NA,27.1,44,1,"NNW","17",NA,NA,NA,NA,NA,NA,NA
"373",NA,"2016-04-7",18.6,20.8,0,5.7,NA,NA,NA,NA,20,64,8,"NW","13",NA,NA,NA,NA,NA,NA,NA
"374",NA,"2016-04-8",17,21.1,0,1.8,NA,NA,NA,NA,18.2,77,8,"W","2",NA,NA,NA,NA,NA,NA,NA
"375",NA,"2016-04-9",14.4,26.2,0.9,0.7,NA,NA,NA,NA,19.8,73,0,"W","2",NA,NA,NA,NA,NA,NA,NA
"376",NA,"2016-04-10",13.1,28.5,0,3,NA,NA,NA,NA,19.5,77,5,"W","2",NA,NA,NA,NA,NA,NA,NA
"377",NA,"2016-04-11",11.1,NA,0,3.2,NA,NA,NA,NA,19.4,61,1,"W","6",NA,NA,NA,NA,NA,NA,NA
"378",NA,"2016-04-12",17.2,22.6,0,3.6,NA,NA,NA,NA,20.1,72,8,"NNW","7",NA,NA,NA,NA,NA,NA,NA
"379",NA,"2016-04-13",13.1,24.3,0,1.8,NA,NA,NA,NA,20.4,71,6,"SW","2",NA,NA,NA,NA,NA,NA,NA
"380",NA,"2016-04-14",13,23.9,0.2,1.9,NA,NA,NA,NA,19.9,81,7,"N","4",NA,NA,NA,NA,NA,NA,NA
"381",NA,"2016-04-15",14.1,27.9,0,1.6,NA,NA,NA,NA,21.3,71,4," ","Calm",NA,NA,NA,NA,NA,NA,NA
"382",NA,"2016-04-16",13.3,29.3,0,2.8,NA,NA,NA,NA,18.6,84,7,"WSW","11",NA,NA,NA,NA,NA,NA,NA
"383",NA,"2016-04-17",17.8,22.6,0,3.8,NA,NA,NA,NA,19.3,80,7,"SW","17",NA,NA,NA,NA,NA,NA,NA
"384",NA,"2016-04-18",14.6,24.6,0.2,1,NA,NA,NA,NA,20.4,73,2,"WSW","7",NA,NA,NA,NA,NA,NA,NA
"385",NA,"2016-04-19",14.9,26.2,0.5,2.3,NA,NA,NA,NA,20.4,80,5,"SW","6",NA,NA,NA,NA,NA,NA,NA
"386",NA,"2016-04-20",14,26.5,0,1.7,NA,NA,NA,NA,20.1,85,3,"W","4",NA,NA,NA,NA,NA,NA,NA
"387",NA,"2016-04-21",14.8,28.5,0,2.1,NA,NA,NA,NA,17.9,100,1,"S","2",NA,NA,NA,NA,NA,NA,NA
"388",NA,"2016-04-22",13.4,27.2,0,2.8,NA,NA,NA,NA,21.4,68,1,"W","6",NA,NA,NA,NA,NA,NA,NA
"389",NA,"2016-04-23",14.8,19.6,0.8,2.4,NA,NA,NA,NA,18.2,69,7,"W","20",NA,NA,NA,NA,NA,NA,NA
"390",NA,"2016-04-24",14,23.1,10.8,2,NA,NA,NA,NA,19,81,3,"SW","7",NA,NA,NA,NA,NA,NA,NA
"391",NA,"2016-04-25",10.9,23.6,0.2,2.2,NA,NA,NA,NA,20,68,1,"SSW","7",NA,NA,NA,NA,NA,NA,NA
"392",NA,"2016-04-26",10.7,25.1,0,2.5,NA,NA,NA,NA,17,81,2," ","Calm",NA,NA,NA,NA,NA,NA,NA
"393",NA,"2016-04-27",11.4,25.4,0,2.2,NA,NA,NA,NA,15.4,96,0,"SW","4",NA,NA,NA,NA,NA,NA,NA
"394",NA,"2016-04-28",12.2,26.7,0,1.9,NA,NA,NA,NA,15.8,94,8,"SW","2",NA,NA,NA,NA,NA,NA,NA
"395",NA,"2016-04-29",11.9,25.6,0,2,NA,NA,NA,NA,18.5,85,6,"SSW","6",NA,NA,NA,NA,NA,NA,NA
"396",NA,"2016-04-30",17,26,0.4,0.8,NA,NA,NA,NA,18.9,90,7," ","Calm",NA,NA,NA,NA,NA,NA,NA
